tf,es_metric,model_type,hidden_size,dropout,num_layers,window_size,hold,ku,kd,val_mr_star,val_martin,val_total_return,val_num_trades,val_bss_raw,val_macro_f1_raw,test_martin,test_total_return,test_sharpe,test_macro_f1_raw,test_brier_raw,test_bss_raw,test_tp_precision_raw,test_tp_recall_raw,test_tp_f1_raw,test_macro_f1_masked,test_brier_masked,test_bss_masked,test_tp_precision_masked,test_tp_recall_masked,test_tp_f1_masked
1h,brier,gru,128,0.5,1,332,332,3,1.5,0.08,4.995199796015087,18.690207957000005,178,-0.026798456290122008,0.5205602897987529,-0.5071534763654071,7.807494671191595,0.8920329927083878,0.4618877895012251,,-0.022478543030490128,0.49458483754512633,0.08787684413085312,0.14923747276688454,0.4315261191334145,,-0.015282153181774394,0.48333333333333334,0.04654895666131621,0.08491947291361639
1h,brier,gru,128,0.0,3,332,332,3,1.5,0.1,4.686078254133789,17.98578026546469,122,-0.02062664083117327,0.5037703521633856,-1.6110219475683558,4.16430650072992,0.7053208092449291,0.43110441257666415,,-0.0014047124016043355,0.4768211920529801,0.046183450930083386,0.08421052631578947,0.43088463211947087,,0.00038900122047946795,0.5172413793103449,0.029644268774703556,0.05607476635514018
1h,brier,gru,384,0.3,1,332,332,3,1.5,0.08,3.9932466150954613,15.18511246221168,164,-0.020878540549639446,0.48067490962245285,14.942122515987768,28.160185680105876,2.9072298995637125,0.42780052196944474,,-0.005363316750698122,0.4527027027027027,0.042976266837716486,0.07850029291154072,0.43957072889657156,,-0.0067749002765014055,0.44,0.04435483870967742,0.08058608058608058
1h,brier,gru,512,0.5,2,332,332,3,1.5,0.1,3.9638044410436675,18.032424437798444,192,-0.03223226621554631,0.5468846035072112,-0.573154768579251,7.582485312628551,0.8598787240330592,0.47259274012846686,,-0.015903424051515236,0.3801801801801802,0.13534316869788326,0.19962157048249762,0.5096235014526208,,-0.011901694974566057,0.38626609442060084,0.16393442622950818,0.2301790281329923
1h,brier,gru,512,0.0,2,332,332,3,1.5,0.07,3.7655229461767346,17.525265532438382,173,0.0009701107881235904,0.5544867093748047,-1.5094371465237597,1.7147268143846928,0.2739886433016076,0.46025938936468763,,-0.011172265423903927,0.44936708860759494,0.09108402822322001,0.15146666666666667,0.4390596383655654,,0.009743823341287094,0.4807692307692308,0.037821482602118005,0.07012622720897616
1h,brier,gru,128,0.1,3,332,332,3,1.5,0.09,3.527105253161368,15.41454104587725,127,-0.01551562601766543,0.4904849739620782,-1.2330938869618697,4.730267677668887,0.7550462895923417,0.4262513207051175,,0.0011569110874535271,0.5217391304347826,0.03848620910840282,0.07168458781362007,0.43430844365066124,,-0.004554039646854635,0.6363636363636364,0.026871401151631478,0.05156537753222836
1h,brier,gru,256,0.5,2,332,332,3,1.5,0.07,3.3791038942674034,17.980665857988033,238,-0.030605498271554676,0.5031662426585825,7.3931446185908465,28.244274799312596,2.134415088871365,0.4433177316152779,,-0.019706212419644764,0.47342995169082125,0.06286080821039128,0.11098527746319366,0.4544223262233916,,-0.018404226646445032,0.4909090909090909,0.06569343065693431,0.11587982832618027
1h,brier,gru,128,0.3,1,332,332,3,1.5,0.05,3.2464715757965865,16.210808169795786,234,-0.03376753878776895,0.5278604013094668,15.544149272103931,35.74261631795077,2.6283450655489036,0.4709460947404827,,-0.016146280605523256,0.5132450331125827,0.09942270686337396,0.16657710908113918,0.4496675560072841,,8.027412586175675e-05,0.4411764705882353,0.05514705882352941,0.0980392156862745
1h,brier,gru,384,0.1,2,332,332,3,1.5,0.13,2.7339215114761735,14.052638784506954,142,-0.01174584399892109,0.5655271230818226,3.8196610751233524,11.734380810607137,2.186698709615862,0.44986932889157655,,-0.034545661752795276,0.49327354260089684,0.07055805003207184,0.12345679012345678,0.4084363126005545,,-0.02228732569948577,0.4230769230769231,0.02208835341365462,0.04198473282442749
1h,brier,gru,384,0.3,2,332,332,3,1.5,0.13,2.7067510242042094,13.725784015533637,128,-0.02714865932648669,0.5580134687103159,-1.0151917233689454,7.036458599920814,1.0868759513701451,0.4692807374222101,,-0.00854001488825884,0.4095022624434389,0.11610006414368185,0.18090954522738628,0.5077844180210783,,0.0012406535579224665,0.44565217391304346,0.13969335604770017,0.2127107652399481
