tf,es_metric,model_type,hidden_size,dropout,num_layers,window_size,hold,ku,kd,val_mr_star,val_martin,val_total_return,val_num_trades,val_bss_raw,val_macro_f1_raw,test_martin,test_total_return,test_sharpe
1h,brier,gru,128,0.3,1,332,332,3,1.5,0.05,3.2464715757965865,16.210808169795786,234,-0.03376753878776895,0.5278604013094668,15.544149272103931,35.74261631795077,2.6283450655489036
1h,brier,gru,384,0.1,2,332,332,3,1.5,0.13,2.7339215114761735,14.052638784506954,142,-0.01174584399892109,0.5655271230818226,3.8196610751233524,11.734380810607137,2.186698709615862
1h,brier,gru,384,0.3,2,332,332,3,1.5,0.13,2.7067510242042094,13.725784015533637,128,-0.02714865932648669,0.5580134687103159,-1.0151917233689454,7.036458599920814,1.0868759513701451
1h,brier,gru,384,0.3,3,332,332,3,1.5,0.12,2.7042689211770887,14.256368975588263,136,-0.013318717749736475,0.5574056252015479,-0.6818169352136335,8.335159808435666,1.3108539354630941
1h,brier,gru,256,0.3,3,332,332,3,1.5,0.12,2.409868972043056,13.277708222236972,137,-0.022015356857376656,0.5403443051399568,-2.4477246285054037,-2.1279142460454925,-0.23743036920768285
1h,brier,gru,256,0.1,2,332,332,3,1.5,0.11,2.3188108359235162,13.290278437996728,168,-0.04001726500028835,0.5315026310207778,36.31847729756094,39.608435830888624,3.653310589613208
1h,brier,gru,384,0.0,3,332,332,3,1.5,0.06,2.2778141527150217,14.394865084376951,215,0.004804286769677257,0.5483528880273792,0.9316721064233627,12.73155653650564,1.5005939581380143
1h,brier,gru,384,0.5,2,332,332,3,1.5,0.08,2.1399091319056454,15.106869502154673,198,-0.026454405992835994,0.5247894063598613,25.85159806457626,31.734819001882443,3.1996989095808326
1h,brier,gru,512,0.3,2,332,332,3,1.5,0.13,2.1220745593051746,12.229467803460858,118,-0.013749967024263121,0.5524187556353457,0.2551108438084992,10.0333000182935,1.4852348532039406
1h,brier,gru,384,0.5,3,332,332,3,1.5,0.03,1.936984343154996,14.878884877859356,266,-0.02412561427592741,0.560799040387525,6.514514761677563,32.33720012325725,2.1653491451092335
1h,brier,gru,256,0.3,2,332,332,3,1.5,0.08,1.20695460723556,13.055675605393912,214,-0.0334484862382749,0.5175075331494641,7.900004170673685,27.29383133277088,2.220064658294059
1h,brier,gru,128,0.1,1,332,332,3,1.5,0.09,0.5014475294357575,10.3212668576681,143,-0.022269850740784136,0.5131405931001072,11.440421997907805,19.37693767368207,2.3412147493971354
1h,brier,gru,256,0.3,1,332,332,3,1.5,0.07,0.3187383670282091,10.35148435906117,213,-0.031842364075041596,0.465822605342256,4.50312816272534,21.303521355606158,2.042572502067419
1h,brier,gru,256,0.5,1,332,332,3,1.5,0.06,-0.19276904253996685,9.045936593889436,243,-0.03549846725113137,0.46628551446475197,3.1779016833492784,22.374233575578838,1.8402319590414833
1h,brier,gru,128,0.0,2,332,332,3,1.5,0.06,-1.5500227481048259,4.826762796128392,264,-0.03689667264707053,0.4820279014095752,18.470922409598867,43.37250317409378,3.11650427721432
